,INTERVAL_DATETIME,REGIONID,ACTUAL_OPERATIONAL_DEMAND,LASTCHANGED
99,1/3/2022 1:00,NSW1,6719,1/3/2022 1:00
100,1/3/2022 1:30,NSW1,6470,1/3/2022 1:30
101,1/3/2022 2:00,NSW1,6291,1/3/2022 2:00
102,1/3/2022 2:30,NSW1,6174,1/3/2022 2:30
103,1/3/2022 3:00,NSW1,6098,1/3/2022 3:00
104,1/3/2022 3:30,NSW1,6037,1/3/2022 3:30
105,1/3/2022 4:00,NSW1,6032,1/3/2022 4:00
106,1/3/2022 4:30,NSW1,6080,1/3/2022 4:30
107,1/3/2022 5:00,NSW1,6117,1/3/2022 5:00
108,1/3/2022 5:30,NSW1,6162,1/3/2022 5:30
109,1/3/2022 6:00,NSW1,6179,1/3/2022 6:00
110,1/3/2022 6:30,NSW1,6230,1/3/2022 6:30
111,1/3/2022 7:00,NSW1,6268,1/3/2022 7:00
112,1/3/2022 7:30,NSW1,6291,1/3/2022 7:30
113,1/3/2022 8:00,NSW1,6299,1/3/2022 8:00
114,1/3/2022 8:30,NSW1,6294,1/3/2022 8:30
115,1/3/2022 9:00,NSW1,6320,1/3/2022 9:00
116,1/3/2022 9:30,NSW1,6374,1/3/2022 9:30
117,1/3/2022 10:00,NSW1,6411,1/3/2022 10:00
118,1/3/2022 10:30,NSW1,6423,1/3/2022 10:30
119,1/3/2022 11:00,NSW1,6439,1/3/2022 11:00
120,1/3/2022 11:30,NSW1,6521,1/3/2022 11:30
121,1/3/2022 12:00,NSW1,6589,1/3/2022 12:00
122,1/3/2022 12:30,NSW1,6699,1/3/2022 12:30
123,1/3/2022 13:00,NSW1,6764,1/3/2022 13:00
124,1/3/2022 13:30,NSW1,6890,1/3/2022 13:30
125,1/3/2022 14:00,NSW1,7073,1/3/2022 14:00
126,1/3/2022 14:30,NSW1,7306,1/3/2022 14:30
127,1/3/2022 15:00,NSW1,7567,1/3/2022 15:00
128,1/3/2022 15:30,NSW1,7812,1/3/2022 15:30
129,1/3/2022 16:00,NSW1,8143,1/3/2022 16:00
130,1/3/2022 16:30,NSW1,8447,1/3/2022 16:30
131,1/3/2022 17:00,NSW1,8748,1/3/2022 17:00
132,1/3/2022 17:30,NSW1,8963,1/3/2022 17:30
133,1/3/2022 18:00,NSW1,9109,1/3/2022 18:00
134,1/3/2022 18:30,NSW1,9041,1/3/2022 18:30
135,1/3/2022 19:00,NSW1,8883,1/3/2022 19:00
136,1/3/2022 19:30,NSW1,8748,1/3/2022 19:30
137,1/3/2022 20:00,NSW1,8634,1/3/2022 20:00
138,1/3/2022 20:30,NSW1,8502,1/3/2022 20:30
139,1/3/2022 21:00,NSW1,8302,1/3/2022 21:00
140,1/3/2022 21:30,NSW1,8144,1/3/2022 21:30
141,1/3/2022 22:00,NSW1,7996,1/3/2022 22:00
142,1/3/2022 22:30,NSW1,7859,1/3/2022 22:30
143,1/3/2022 23:00,NSW1,7667,1/3/2022 23:00
144,1/3/2022 23:30,NSW1,7489,1/3/2022 23:30
145,1/4/2022 0:00,NSW1,7349,1/4/2022 0:00
146,1/4/2022 0:30,NSW1,7111,1/4/2022 0:30
147,1/4/2022 1:00,NSW1,6860,1/4/2022 1:00
148,1/4/2022 1:30,NSW1,6572,1/4/2022 1:30
149,1/4/2022 2:00,NSW1,6372,1/4/2022 2:00
150,1/4/2022 2:30,NSW1,6256,1/4/2022 2:30
151,1/4/2022 3:00,NSW1,6189,1/4/2022 3:00
152,1/4/2022 3:30,NSW1,6173,1/4/2022 3:30
153,1/4/2022 4:00,NSW1,6200,1/4/2022 4:00
154,1/4/2022 4:30,NSW1,6308,1/4/2022 4:30
155,1/4/2022 5:00,NSW1,6414,1/4/2022 5:00
156,1/4/2022 5:30,NSW1,6604,1/4/2022 5:30
157,1/4/2022 6:00,NSW1,6747,1/4/2022 6:00
158,1/4/2022 6:30,NSW1,6934,1/4/2022 6:30
159,1/4/2022 7:00,NSW1,7057,1/4/2022 7:00
160,1/4/2022 7:30,NSW1,7220,1/4/2022 7:30
161,1/4/2022 8:00,NSW1,7314,1/4/2022 8:00
162,1/4/2022 8:30,NSW1,7355,1/4/2022 8:30
163,1/4/2022 9:00,NSW1,7317,1/4/2022 9:00
164,1/4/2022 9:30,NSW1,7250,1/4/2022 9:30
165,1/4/2022 10:00,NSW1,7274,1/4/2022 10:00
166,1/4/2022 10:30,NSW1,7273,1/4/2022 10:30
167,1/4/2022 11:00,NSW1,7291,1/4/2022 11:00
168,1/4/2022 11:30,NSW1,7295,1/4/2022 11:30
169,1/4/2022 12:00,NSW1,7323,1/4/2022 12:00
170,1/4/2022 12:30,NSW1,7445,1/4/2022 12:30
171,1/4/2022 13:00,NSW1,7452,1/4/2022 13:00
172,1/4/2022 13:30,NSW1,7571,1/4/2022 13:30
173,1/4/2022 14:00,NSW1,7782,1/4/2022 14:00
174,1/4/2022 14:30,NSW1,7952,1/4/2022 14:30
175,1/4/2022 15:00,NSW1,8181,1/4/2022 15:00
176,1/4/2022 15:30,NSW1,8321,1/4/2022 15:30
177,1/4/2022 16:00,NSW1,8610,1/4/2022 16:00
178,1/4/2022 16:30,NSW1,8910,1/4/2022 16:30
179,1/4/2022 17:00,NSW1,9190,1/4/2022 17:00
180,1/4/2022 17:30,NSW1,9292,1/4/2022 17:30
181,1/4/2022 18:00,NSW1,9389,1/4/2022 18:00
182,1/4/2022 18:30,NSW1,9292,1/4/2022 18:30
183,1/4/2022 19:00,NSW1,9122,1/4/2022 19:00
184,1/4/2022 19:30,NSW1,8998,1/4/2022 19:30
185,1/4/2022 20:00,NSW1,8928,1/4/2022 20:00
186,1/4/2022 20:30,NSW1,8772,1/4/2022 20:30
187,1/4/2022 21:00,NSW1,8578,1/4/2022 21:00
188,1/4/2022 21:30,NSW1,8459,1/4/2022 21:30
189,1/4/2022 22:00,NSW1,8280,1/4/2022 22:00
190,1/4/2022 22:30,NSW1,8119,1/4/2022 22:30
191,1/4/2022 23:00,NSW1,7941,1/4/2022 23:00
192,1/4/2022 23:30,NSW1,7752,1/4/2022 23:30
193,1/5/2022 0:00,NSW1,7578,1/5/2022 0:00
194,1/5/2022 0:30,NSW1,7312,1/5/2022 0:30
195,1/5/2022 1:00,NSW1,7104,1/5/2022 1:00
196,1/5/2022 1:30,NSW1,6825,1/5/2022 1:30
197,1/5/2022 2:00,NSW1,6600,1/5/2022 2:00
198,1/5/2022 2:30,NSW1,6438,1/5/2022 2:30
199,1/5/2022 3:00,NSW1,6385,1/5/2022 3:00
200,1/5/2022 3:30,NSW1,6363,1/5/2022 3:30
201,1/5/2022 4:00,NSW1,6354,1/5/2022 4:00
202,1/5/2022 4:30,NSW1,6495,1/5/2022 4:30
203,1/5/2022 5:00,NSW1,6617,1/5/2022 5:00
204,1/5/2022 5:30,NSW1,6831,1/5/2022 5:30
205,1/5/2022 6:00,NSW1,6966,1/5/2022 6:00
206,1/5/2022 6:30,NSW1,7180,1/5/2022 6:30
207,1/5/2022 7:00,NSW1,7320,1/5/2022 7:00
208,1/5/2022 7:30,NSW1,7503,1/5/2022 7:30
209,1/5/2022 8:00,NSW1,7560,1/5/2022 8:00
210,1/5/2022 8:30,NSW1,7658,1/5/2022 8:30
211,1/5/2022 9:00,NSW1,7648,1/5/2022 9:00
212,1/5/2022 9:30,NSW1,7598,1/5/2022 9:30
213,1/5/2022 10:00,NSW1,7556,1/5/2022 10:00
214,1/5/2022 10:30,NSW1,7557,1/5/2022 10:30
215,1/5/2022 11:00,NSW1,7642,1/5/2022 11:00
216,1/5/2022 11:30,NSW1,7748,1/5/2022 11:30
217,1/5/2022 12:00,NSW1,7828,1/5/2022 12:00
218,1/5/2022 12:30,NSW1,7817,1/5/2022 12:30
219,1/5/2022 13:00,NSW1,7892,1/5/2022 13:00
220,1/5/2022 13:30,NSW1,8044,1/5/2022 13:30
221,1/5/2022 14:00,NSW1,8155,1/5/2022 14:00
222,1/5/2022 14:30,NSW1,8173,1/5/2022 14:30
223,1/5/2022 15:00,NSW1,8276,1/5/2022 15:00
224,1/5/2022 15:30,NSW1,8372,1/5/2022 15:30
225,1/5/2022 16:00,NSW1,8468,1/5/2022 16:00
226,1/5/2022 16:30,NSW1,8542,1/5/2022 16:30
227,1/5/2022 17:00,NSW1,8715,1/5/2022 17:00
228,1/5/2022 17:30,NSW1,8818,1/5/2022 17:30
229,1/5/2022 18:00,NSW1,8930,1/5/2022 18:00
230,1/5/2022 18:30,NSW1,8881,1/5/2022 18:30
231,1/5/2022 19:00,NSW1,8813,1/5/2022 19:00
232,1/5/2022 19:30,NSW1,8711,1/5/2022 19:30
233,1/5/2022 20:00,NSW1,8665,1/5/2022 20:00
234,1/5/2022 20:30,NSW1,8545,1/5/2022 20:30
235,1/5/2022 21:00,NSW1,8337,1/5/2022 21:00
236,1/5/2022 21:30,NSW1,8246,1/5/2022 21:30
237,1/5/2022 22:00,NSW1,8088,1/5/2022 22:00
238,1/5/2022 22:30,NSW1,8020,1/5/2022 22:30
239,1/5/2022 23:00,NSW1,7836,1/5/2022 23:00
240,1/5/2022 23:30,NSW1,7691,1/5/2022 23:30
241,1/6/2022 0:00,NSW1,7531,1/6/2022 0:00
242,1/6/2022 0:30,NSW1,7331,1/6/2022 0:30
243,1/6/2022 1:00,NSW1,7106,1/6/2022 1:00
244,1/6/2022 1:30,NSW1,6859,1/6/2022 1:30
245,1/6/2022 2:00,NSW1,6630,1/6/2022 2:00
246,1/6/2022 2:30,NSW1,6508,1/6/2022 2:30
247,1/6/2022 3:00,NSW1,6409,1/6/2022 3:00
248,1/6/2022 3:30,NSW1,6393,1/6/2022 3:30
249,1/6/2022 4:00,NSW1,6416,1/6/2022 4:00
250,1/6/2022 4:30,NSW1,6536,1/6/2022 4:30
251,1/6/2022 5:00,NSW1,6640,1/6/2022 5:00
252,1/6/2022 5:30,NSW1,6851,1/6/2022 5:30
253,1/6/2022 6:00,NSW1,7017,1/6/2022 6:00
254,1/6/2022 6:30,NSW1,7209,1/6/2022 6:30
255,1/6/2022 7:00,NSW1,7407,1/6/2022 7:00
256,1/6/2022 7:30,NSW1,7721,1/6/2022 7:30
257,1/6/2022 8:00,NSW1,7846,1/6/2022 8:00
258,1/6/2022 8:30,NSW1,7977,1/6/2022 8:30
259,1/6/2022 9:00,NSW1,7904,1/6/2022 9:00
260,1/6/2022 9:30,NSW1,7820,1/6/2022 9:30
261,1/6/2022 10:00,NSW1,7826,1/6/2022 10:00
262,1/6/2022 10:30,NSW1,7677,1/6/2022 10:30
263,1/6/2022 11:00,NSW1,7750,1/6/2022 11:00
264,1/6/2022 11:30,NSW1,7765,1/6/2022 11:30
265,1/6/2022 12:00,NSW1,7827,1/6/2022 12:00
266,1/6/2022 12:30,NSW1,7870,1/6/2022 12:30
267,1/6/2022 13:00,NSW1,7939,1/6/2022 13:00
268,1/6/2022 13:30,NSW1,8050,1/6/2022 13:30
269,1/6/2022 14:00,NSW1,8226,1/6/2022 14:00
270,1/6/2022 14:30,NSW1,8417,1/6/2022 14:30
271,1/6/2022 15:00,NSW1,8554,1/6/2022 15:00
272,1/6/2022 15:30,NSW1,8636,1/6/2022 15:30
273,1/6/2022 16:00,NSW1,8765,1/6/2022 16:00
274,1/6/2022 16:30,NSW1,8890,1/6/2022 16:30
275,1/6/2022 17:00,NSW1,9107,1/6/2022 17:00
276,1/6/2022 17:30,NSW1,9128,1/6/2022 17:30
277,1/6/2022 18:00,NSW1,9119,1/6/2022 18:00
278,1/6/2022 18:30,NSW1,9018,1/6/2022 18:30
279,1/6/2022 19:00,NSW1,8898,1/6/2022 19:00
280,1/6/2022 19:30,NSW1,8820,1/6/2022 19:30
281,1/6/2022 20:00,NSW1,8741,1/6/2022 20:00
282,1/6/2022 20:30,NSW1,8525,1/6/2022 20:30
283,1/6/2022 21:00,NSW1,8351,1/6/2022 21:00
284,1/6/2022 21:30,NSW1,8253,1/6/2022 21:30
285,1/6/2022 22:00,NSW1,8140,1/6/2022 22:00
286,1/6/2022 22:30,NSW1,8071,1/6/2022 22:30
287,1/6/2022 23:00,NSW1,7917,1/6/2022 23:00
288,1/6/2022 23:30,NSW1,7718,1/6/2022 23:30
289,1/7/2022 0:00,NSW1,7530,1/7/2022 0:00
290,1/7/2022 0:30,NSW1,7311,1/7/2022 0:30
291,1/7/2022 1:00,NSW1,7070,1/7/2022 1:00
292,1/7/2022 1:30,NSW1,6800,1/7/2022 1:30
293,1/7/2022 2:00,NSW1,6597,1/7/2022 2:00
294,1/7/2022 2:30,NSW1,6506,1/7/2022 2:30
295,1/7/2022 3:00,NSW1,6456,1/7/2022 3:00
296,1/7/2022 3:30,NSW1,6423,1/7/2022 3:30
297,1/7/2022 4:00,NSW1,6450,1/7/2022 4:00
298,1/7/2022 4:30,NSW1,6558,1/7/2022 4:30
299,1/7/2022 5:00,NSW1,6659,1/7/2022 5:00
300,1/7/2022 5:30,NSW1,6863,1/7/2022 5:30
301,1/7/2022 6:00,NSW1,7011,1/7/2022 6:00
302,1/7/2022 6:30,NSW1,7254,1/7/2022 6:30
303,1/7/2022 7:00,NSW1,7547,1/7/2022 7:00
304,1/7/2022 7:30,NSW1,7795,1/7/2022 7:30
305,1/7/2022 8:00,NSW1,7911,1/7/2022 8:00
306,1/7/2022 8:30,NSW1,8012,1/7/2022 8:30
